Type,Dip,Immersion
D,50,120
J,80,085
J,70,080
J,70,090
J,90,130
J,75,350
J,80,175
J,65,070
J,75,080
J,50,100
J,85,010
J,60,115
J,85,070
J,80,105
J,65,095
J,90,090
J,50,085
J,35,090
J,65,080
J,55,085
J,50,265
J,70,180
J,70,180
J,75,095
J,50,010
J,60,100
J,85,180
J,85,185
J,30,290
J,50,345
J,65,195
J,60,080
J,70,080
J,70,265
J,85,140
J,45,140
J,60,130
J,40,065
J,80,245
J,70,095
J,75,090
J,90,155
J,70,160
J,30,310
J,50,090
J,75,040
J,65,245
J,45,340
J,65,065
J,55,330
J,90,215
J,70,105
J,70,030
J,80,005
J,60,110
J,60,135
J,55,135
J,70,060
J,65,065
J,90,090
J,65,065
J,70,150
J,75,115
J,70,235
J,85,190
J,60,120
J,85,060
J,80,140
J,80,050
J,45,335
J,55,295
J,70,150
J,45,080
J,80,100
J,55,050
J,75,060
J,60,140
J,65,225
J,45,045
J,60,115
J,70,110
J,60,050
J,65,130
J,65,055
J,65,035
J,60,260
J,55,090
J,80,025
J,80,220
J,80,120
J,60,095
J,30,270
J,70,150
J,70,125
J,90,230
J,60,050
J,70,165
J,70,120
J,65,230
J,85,120
J,80,070
J,45,345
J,70,350
J,35,120
J,40,105
J,75,000
J,80,000
J,60,000
J,80,350
J,60,100
J,65,095
J,60,095
J,65,100
J,80,015
J,70,085
J,55,070
J,85,005
J,80,180
J,65,170
J,70,030
J,40,295
J,60,050
J,60,345
J,80,130
J,65,120
J,40,120
J,50,130
J,85,000
J,85,170
J,65,123
J,30,125
J,15,120
J,50,125
J,85,155
J,80,215
J,75,125
J,70,160
J,60,140
J,85,155
J,70,320
J,45,100
J,40,095
J,70,075
J,80,160
J,90,175
J,40,085
J,35,095
J,35,110
J,45,120
J,50,110
J,55,095
J,40,110
J,60,120
J,30,110
J,45,105
J,50,140
J,50,095
J,40,105
J,50,150
J,45,075
J,45,280
J,55,140
J,55,355
J,85,010
J,90,010
J,45,290
J,75,300
J,40,100
J,60,130
J,85,130
J,85,130
J,30,100
J,50,110
J,80,090
J,75,230
J,60,080
J,65,115
J,50,290
J,60,210
J,65,200
J,40,280
J,35,155
J,55,160
J,50,090
J,50,150
J,60,080
J,70,040
J,40,110
J,40,270
J,40,280
J,45,170
J,65,175
J,80,045
J,80,110
J,50,015
J,80,145
J,70,110
J,40,355
J,50,070
J,80,080
J,70,165
J,80,240
J,55,120
J,70,075
J,80,145
J,65,145
J,50,295
J,80,110
J,80,185
J,60,335
J,65,145
J,70,000
J,40,245
J,40,280
J,50,015
J,65,095
J,70,095
J,60,155
J,70,210
J,80,090
J,55,345
J,55,100
J,60,000
J,80,070
J,65,155
J,40,165
J,55,065
J,45,135
J,65,310
J,85,240
J,55,345
J,20,210
J,70,065
J,85,180
J,70,145
J,65,150
J,75,065
J,40,140
J,45,345
J,75,080
J,75,160
J,60,055
J,50,075
J,35,130
J,85,015
J,40,145
J,85,155
J,30,150
J,85,010
J,30,230
J,60,305
J,60,155
J,70,290
J,35,140
J,80,130
J,65,095
J,85,155
J,55,335
J,75,235
J,70,050
J,85,120
J,80,220
J,20,230
J,80,330
J,90,050
J,85,240
J,85,115
J,85,055
J,70,350
J,80,225
J,80,230
J,90,135
J,90,085
J,80,105
J,75,135
J,70,260
J,30,310
J,85,300
J,70,255
J,70,340
J,45,250
J,40,315
J,65,320
J,75,275
J,45,250
J,90,160
J,80,075
J,35,260
J,90,160
J,85,115
J,80,010
J,70,160
J,75,330
J,50,350
J,75,270
J,60,135
J,90,245
J,40,200
J,55,090
J,60,255
J,85,300
J,80,290
J,55,080
J,75,040
J,70,135
J,75,030
J,65,065
J,90,270
J,65,030
J,90,280
J,80,100
J,85,045
J,85,140
J,55,335
J,80,175
J,75,050
J,70,055
J,10,330
J,25,295
J,45,055
J,60,095
J,85,240
J,70,295
J,70,095
J,55,105
J,80,040
J,85,120
J,80,115
J,70,270
J,45,180
J,80,220
J,80,240
J,90,165
J,60,330
J,50,110
J,70,065
J,30,030
J,40,045
J,60,065
J,60,270
J,55,065
J,60,330
J,30,280
J,80,125
J,60,065
J,80,350
J,65,070
J,60,245
J,75,330
J,85,350
J,65,095
J,25,255
J,65,065
J,70,325
J,85,340
J,65,050
J,65,165
J,75,175
J,70,270
J,45,240
J,70,050
J,35,245
J,40,245
J,70,090
J,45,240
J,75,290
J,90,135
J,55,280
J,25,260
J,60,030
J,80,260
J,65,240
J,70,235
J,80,155
J,90,135
J,85,300
J,45,050
J,45,270
J,45,050
J,85,230
J,55,250
J,55,045
J,90,315
J,80,040
J,35,240
J,85,130
J,50,035
J,90,035
J,60,240
J,85,120
J,80,105
J,50,055
J,45,040
J,25,240
J,45,060
J,60,220
J,65,040
J,70,080
J,90,100
J,45,110
J,75,275
J,45,105
J,80,125
J,40,270
J,40,050
J,80,180
J,40,080
J,80,355
J,85,005
J,65,000
J,30,110
J,60,015
J,55,290
J,85,090
J,60,005
J,50,110
J,95,100
J,60,110
J,80,085
J,40,115
J,80,110
J,70,190
J,85,185
J,50,120
J,80,000
J,80,070
J,80,295
J,75,280
J,70,025
J,80,110
J,40,105
J,50,290
J,60,000
J,65,090
J,65,355
J,80,245
J,80,000
J,70,000
J,85,150
J,50,005
J,85,095
J,65,005
J,85,205
J,70,355
J,60,020
J,80,100
J,30,110
J,65,005
J,50,235
J,45,105
J,90,095
J,80,105
J,40,095
J,90,105
J,65,185
J,75,120
J,75,010
J,55,110
J,60,135
J,45,210
J,60,090
J,50,095
J,85,000
J,90,040
J,65,000
J,80,330
J,80,340
J,80,000
J,90,095
J,50,090
J,45,115
J,45,090
J,85,305
J,45,095
J,85,340
J,80,300
J,50,150
J,60,160
J,90,085
J,85,240
J,65,345
J,65,015
J,30,070
J,75,240
J,90,235
J,75,010
J,90,240
J,75,080
J,65,070
J,85,250
J,70,230
J,60,240
J,65,210
J,15,090
J,70,060
J,75,345
J,80,305
J,80,300
J,45,080
J,35,210
J,70,270
J,60,215
J,55,065
J,50,080
J,50,095
J,60,090
J,50,065
J,75,350
J,60,035
J,60,100
J,50,080
J,65,000
J,85,020
J,25,275
J,40,300
J,70,110
J,90,180
J,90,185
J,65,135
J,70,110
J,40,065
J,55,170
J,45,080
J,35,020
J,60,090
J,45,090
J,60,135
J,65,300
J,85,000
J,90,000
J,55,320
J,65,210
J,65,235
J,60,250
J,50,280
J,45,265
J,30,295
J,55,120
J,65,115
J,40,320
J,80,170
J,45,070
J,80,010
J,35,290
J,65,165
J,35,320
J,75,160
J,60,205
J,50,070
J,65,145
J,65,345
J,40,135
J,70,320
J,80,295
J,70,095
J,30,145
J,65,315
J,85,150
J,60,190
J,45,075
J,70,055
J,80,285
J,30,125
J,80,175
J,75,080
J,85,300
J,50,105
J,70,305
J,50,215
J,85,180
J,85,330
J,51,135
J,60,110
J,90,150
J,70,200
J,85,350
J,40,330
J,70,090
J,75,330
J,75,140
J,50,320
J,60,305
J,80,090
J,20,220
J,80,220
J,75,070
J,70,130
J,60,125
J,80,150
J,85,290
J,50,330
J,85,160
J,40,315
J,60,140
J,80,090
J,80,070
J,60,200
J,70,200
J,60,110
J,80,110
J,50,095
ST,50,030
ST,55,085
ST,30,120
ST,50,135
ST,80,240
ST,40,250
ST,65,250
ST,15,255
ST,80,260
ST,80,260
ST,5,260
ST,20,260
ST,40,270
ST,20,270
ST,30,275
ST,20,275
ST,15,300
ST,45,300
ST,50,305
ST,40,305
ST,15,305
ST,10,320
ST,70,375
ST,39,294
ST,39,284
ST,48,341
ST,40,291
ST,34,284
ST,86,193
ST,60,6
ST,66,197
ST,63,356
ST,25,294
ST,9,11
ST,65,349
ST,40,289
ST,48,296
ST,36,292
ST,47,285
ST,20,359
ST,32,248
ST,40,250
ST,35,262
ST,32,266
ST,35,268
ST,30,266
ST,32,266
ST,40,258
ST,25,268
ST,39,291
ST,20,274
ST,40,277
ST,60,350
ST,20,257
ST,20,270
ST,24,272
ST,15,279
ST,35,285
ST,24,263
ST,28,274
ST,50,282
ST,35,285
ST,35,284
ST,25,281
ST,35,298
ST,25,288
ST,32,319
ST,25,312
ST,25,309
ST,55,124
ST,5,208
ST,45,293
ST,80,117
ST,35,205
ST,75,126
ST,25,209
ST,60,128
ST,18,224
ST,85,12
ST,32,282







