Distance (m),26-Aug-00,05-Aug-02,08-Sep-12,01-Mar-14,01-May-16
0,899.66,900.6,899.51,900.54,900.54
2.19,897.27,898.59,897.26,898.81,898.81
4.38,894.97,896.48,894.72,897.09,897.09
6.57,892.76,894.23,892.19,895.33,895.33
8.76,890.49,891.81,889.92,893.42,893.42
10.95,888.18,889.23,887.94,891.22,891.22
13.14,886,886.52,886.14,888.61,888.61
15.33,883.82,884.06,884.43,885.54,885.54
17.52,881.41,881.33,882.71,883.47,883.47
19.71,879.06,878.63,880.89,879.95,879.95
21.9,876.33,875.98,878.76,876.39,869.62
24.09,873.37,873.4,876.19,872.75,868.13
26.28,870.01,870.89,873.23,868.93,866.29
28.47,866.35,868.44,870.2,864.97,865.09
30.66,862.83,866.06,867.46,860.94,863.19
32.85,860.04,863.72,865.1,856.9,861.64
35.04,858.33,861.39,863.22,852.9,859.08
37.23,857.15,859.06,861.11,849.54,857.03
39.42,855.52,856.69,858.96,845.78,854.46
41.61,853.11,854.29,856.72,842.45,852.73
43.8,850.32,851.85,854.46,839.59,850.04
45.99,847.53,849.38,852.18,837.15,847.36
48.18,845.03,846.89,849.8,835.03,845.21
50.38,843.08,844.41,847.14,833.08,843.24
52.57,841.38,842.34,844.12,831.26,841.12
54.76,839.34,839.9,841,829.6,838.77
56.95,837.62,837.5,838.14,828.1,836.07
59.14,835.21,835.15,835.72,826.66,833.19
61.33,832.99,833.81,833.66,825.13,830.12
63.52,830.69,831.54,831.82,823.3,828.26
65.71,827.9,829.31,830.06,820.91,825.61
67.9,824.54,827.13,828.25,817.83,823.56
70.09,821.16,824.98,827.37,814.1,821.63
72.28,818.54,822.87,825.19,811.31,819.96
74.47,816.85,820.76,822.55,807.19,817.59
76.66,815.5,818.62,819.49,803.5,815.33
78.85,814.13,816.38,816.37,800.42,812.29
81.04,813.2,813.97,813.55,797.86,809.27
83.23,811.66,811.36,811.12,795.56,806.41
85.42,809.83,808.57,808.99,793.35,803.92
87.61,807.75,806.24,807,791.14,801.13
89.8,805.46,803.44,805.04,789,798.76
91.99,803.09,800.79,803.09,786.96,795.65
94.18,801.39,798.41,801.12,785.03,792.82
96.37,799.38,796.35,799.12,783.18,789.46
98.56,797.65,794.57,796.98,781.38,786.65
100.75,796.11,793.03,794.63,779.59,784
102.94,794.67,791.67,792.13,777.75,781.6
105.13,793.3,790.42,789.73,775.82,779.61
107.32,792.02,789.25,788.3,773.87,777.25
109.51,790.76,788.14,786.45,772.4,774.82
111.7,789.47,787.08,784.91,770.81,771.32
113.89,788.24,786.08,783.63,769.51,767.54
116.08,787.13,785.12,782.59,768.36,764.43
118.27,786.18,784.2,781.73,767.24,761.21
120.46,785.23,783.31,780.9,766.59,759.37
122.65,784.1,782.44,779.93,765.29,756.77
124.84,782.8,781.93,778.77,763.74,753.67
127.03,781.55,781.04,777.45,761.86,750.54
129.22,780.95,780.13,776.11,759.66,748.4
131.41,779.8,779.2,774.93,757.16,744.89
133.6,778.64,778.25,773.96,754.37,742.34
135.79,777.63,777.3,773.11,751.43,738.78
137.98,776.88,776.38,772.25,748.63,735.58
140.17,776.36,775.49,771.31,746.09,731.64
142.36,775.91,774.66,770.32,743.78,728.24
144.55,775.47,773.9,769.77,742.12,724.57
146.74,775.24,773.21,768.76,739.72,720.97
148.94,775.31,772.59,767.76,737.11,716.67
151.13,775.41,772.01,766.77,734.35,713.69
153.32,775.24,771.45,765.79,731.62,708.93
155.51,774.93,770.85,764.8,729.11,704.65
157.7,774.57,770.18,763.8,726.87,702.12
159.89,774.15,769.86,762.82,724.89,700.18
162.08,773.78,769.01,761.92,723.18,698.57
164.27,773.19,768.31,761.14,721.75,698.23
166.46,772.77,767.33,760.49,720.59,698.82
168.65,770.71,766.29,759.82,719.6,698.32
170.84,768.49,765.22,759.21,718.66,697.5
173.03,766.62,764.14,758.13,717.72,695.79
175.22,765.15,763.03,756.7,716.75,695.04
177.41,764,761.88,754.98,715.73,693.68
179.6,763.04,760.68,753.89,714.73,693.11
181.79,762.23,759.41,752.14,714.46,692.83
183.98,761.09,758.06,750.6,713.57,691.91
186.17,759.75,756.62,749.17,712.66,691.19
188.36,758.28,755.08,747.68,711.65,690.56
190.55,756.67,753.47,746.09,710.52,689.27
192.74,754.92,751.79,744.42,709.23,687.26
194.93,753.23,750.05,742.71,707.79,684.5
197.12,751.8,749.14,740.98,706.2,683.07
199.31,750.52,747.34,739.21,704.47,681.79
201.5,750.06,745.53,737.42,702.64,680.78
203.69,748.65,743.69,735.61,700.72,679.28
205.88,747.09,741.84,733.82,698.71,676.99
208.07,745.6,739.97,732.05,696.7,675.42
210.26,744.4,738.07,730.37,694.82,673.13
212.45,743.34,736.13,728.85,693.1,671.24
214.64,741.83,734.13,727.55,691.5,669.2
216.83,739.46,732.07,726.9,689.93,667.16
219.02,736.42,729.95,725.78,688.83,665.67
221.21,733.34,727.81,724.45,687.67,664.35
223.4,730.69,725.67,722.77,685.8,661.86
225.59,728.4,723.58,720.77,683.82,659.79
227.78,726.26,721.56,718.63,681.8,658.09
229.97,724.12,719.6,716.67,679.8,656.64
232.16,722.07,717.68,715.07,677.83,655
234.35,720.32,716.75,713.72,675.84,652.8
236.54,718.87,714.82,712.33,673.72,650.61
238.73,718.56,712.84,710.79,671.42,648.01
240.92,717.03,710.8,709.12,669.02,645.63
243.11,714.92,708.71,707.42,666.79,643.59
245.31,712.24,706.58,705.75,664.94,641.92
247.5,709.55,704.44,704.16,663.39,640.5
249.69,707.04,702.33,702.61,661.92,636.74
251.88,704.67,700.26,701.95,660.28,634.4
254.07,702.7,698.24,700.15,658.86,632.66
256.26,701.31,696.27,698.05,656.67,630.47
258.45,700.04,694.33,695.7,654.1,627.55
260.64,698.31,692.39,693.3,651.26,625.25
262.83,695.82,690.41,691.08,648.48,623.43
265.02,692.57,688.85,689.13,646.18,621.21
267.21,689.01,686.73,687.28,644.51,619.28
269.4,685.89,685.64,685.18,643.1,617.29
271.59,683.26,683.31,683.4,641.41,614.7
273.78,680.8,680.88,680.33,639.24,612.74
275.97,678.52,678.38,676.7,636.78,610.79
278.16,676.47,675.86,672.82,634.27,609.14
280.35,674.69,673.36,669.19,631.93,606.44
282.54,673.08,670.9,666.2,629.9,604.49
284.73,672.25,668.48,663.89,628.14,602.7
286.92,670.54,666.05,661.93,626.5,601.65
289.11,668.63,663.58,660.65,624.88,600.58
291.3,666.54,661.07,658.51,624.23,599.82
293.49,664.44,658.52,656.13,622.53,598.5
295.68,662.33,655.97,653.56,620.7,597.02
297.87,659.8,653.47,650.86,618.77,595.05
300.06,656.56,651.09,648.07,616.74,592.44
302.25,653.09,648.86,645.24,614.66,590.46
304.44,650.35,646.79,642.47,612.56,589.29
306.63,648.79,645.36,639.83,610.42,587.74
308.82,647.66,643.5,637.39,608.27,586.4
311.01,646.29,641.75,635.24,606.34,584.83
313.2,644.22,640.07,633.44,604.86,583.83
315.39,641.91,638.46,631.91,603.69,582.6
317.58,639.85,636.91,630.43,602.47,581.81
319.77,638.17,635.39,628.7,601.06,580.9
321.96,636.61,633.9,626.5,599.74,579.98
324.15,634.74,632.42,623.77,598.09,578.61
326.34,632.6,630.93,621.8,597.33,578.37
328.53,630.59,629.44,618.55,595.46,577.45
330.72,629.02,627.92,615.52,593.52,576.74
332.91,627.92,626.37,613,591.51,575.12
335.1,627.12,624.78,610.96,589.5,573.83
337.29,626.21,623.14,609.12,587.63,572.51
339.48,624.8,621.45,607.19,586.01,571.89
341.67,622.98,620.18,605.07,584.66,571.21
343.87,621.18,618.46,602.79,583.49,570.67
346.06,619.68,616.74,600.35,582.27,569.35
348.25,618.82,615.04,597.78,580.82,567.79
350.44,617.43,613.38,595.15,578.94,565.18
352.63,615.84,611.76,592.58,576.56,562.15
354.82,614.06,610.15,590.2,573.83,558.89
357.01,612.21,608.57,588.02,571,556.44
359.2,610.41,606.99,586.02,568.31,554.52
361.39,608.8,605.43,584.6,565.89,552.52
363.58,607.47,603.89,582.89,564.54,551.56
365.77,606.46,602.86,581.29,562.49,549.86
367.96,605.59,601.35,579.64,560.51,548.33
370.15,604.51,599.86,577.8,558.59,546.16
372.34,603.1,598.4,576.48,556.76,544.27
374.53,601.42,596.97,574.09,554.98,542.4
376.72,599.52,595.55,571.5,553.21,541.06
378.91,597.51,594.6,569.01,551.43,539.37
381.1,595.73,593.18,566.93,549.61,537.68
383.29,594.85,591.74,565.36,547.72,536.09
385.48,593.96,590.28,564.11,545.69,532.72
387.67,592.67,588.82,562.94,543.6,529.92
389.86,591.2,587.35,561.66,541.51,526.99
392.05,589.76,585.89,560.24,539.45,525.18
394.24,588.54,584.46,558.69,537.43,523.02
396.43,587.49,583.07,557,535.46,521.26
398.62,586.48,581.72,555.8,533.54,519.74
400.81,585.5,580.4,553.98,532.02,518.37
403,584.69,579.12,552.2,530.23,516.16
405.19,584.05,577.87,550.52,528.52,514.53
407.38,583.49,576.66,548.96,526.9,512.54
409.57,582.94,575.5,547.48,525.34,509.59
411.76,582.39,574.39,546.09,523.79,507.19
413.95,581.83,573.35,544.78,522.21,505.08
416.14,581.22,572.73,543.59,520.59,502.17
418.33,580.52,571.82,542.48,518.91,500.46
420.52,579.93,570.97,541.3,517.18,498.79
422.71,579.22,570.19,539.91,516.14,497.74
424.9,578.75,569.47,538.27,514.46,496.35
427.09,578.56,568.8,536.54,512.88,494.93
429.28,578.48,568.18,534.97,511.32,493.22
431.47,578.26,567.6,533.7,509.69,491.1
433.66,577.86,567.06,532.88,508,488.92
435.85,577.26,566.54,531.98,506.59,487.04
438.04,576.37,566.04,531.14,504.84,484.62
440.23,575.3,565.53,530.28,503.17,482.61
442.43,574.24,564.99,529.4,501.61,480.23
444.62,573.23,564.41,528.47,500.07,478.24
446.81,572.15,563.76,527.49,498.48,475.91
449,570.92,563.03,526.48,496.79,473.31
451.19,569.51,562.59,525.51,495.01,469.52
453.38,567.97,561.75,524.64,493.17,466.37
455.57,566.45,560.84,523.86,491.24,464.75
457.76,565.61,559.87,523.16,489.21,462.14
459.95,564.51,558.86,522.52,487.06,458.04
462.14,563.72,557.82,521.93,484.9,454.53
464.33,563.18,556.76,521.41,482.8,452.16
466.52,562.85,555.95,520.95,480.84,449.71
468.71,562.55,554.87,520.51,479.07,446.25
470.9,562.03,553.82,520.19,477.51,444.21
473.09,561.41,552.82,519.64,476.75,444.8
475.28,560.91,551.87,519.19,475.69,444.74
477.47,560.58,551.01,518.53,474.86,444.83
479.66,560.52,550.22,517.92,474.13,444.11
481.85,560.87,549.51,517.43,473.42,443.59
484.04,561.24,548.87,517.04,472.72,443.44
486.23,560.96,548.29,516.67,472.02,441.92
488.42,559.74,548.19,516.26,471.29,441.02
490.61,557.5,547.66,515.8,470.53,440.2
492.8,556.15,547.15,515.31,469.74,438.97
494.99,554.14,546.64,514.83,468.9,437.38
497.18,552.59,546.12,514.33,467.96,435.6
499.37,551.2,545.58,513.77,466.91,434.29
501.56,549.7,545.01,513.09,465.8,432.95
503.75,548.24,544.38,512.31,464.69,431.01
505.94,547.03,543.66,511.52,463.6,429.71
508.13,545.8,542.79,510.97,462.91,429.21
510.32,544.3,541.73,510.22,461.83,428.06
512.51,542.67,540.45,509.52,460.77,427.22
514.7,541.18,538.92,508.84,459.79,425.93
516.89,539.92,537.17,508.17,458.89,424.48
519.08,538.81,535.24,507.44,458.04,423.02
521.27,537.68,533.2,506.53,457.21,421.67
523.46,536.47,531.56,505.39,456.3,420.14
525.65,535.24,529.45,504.11,455.62,419.54
527.84,533.98,527.41,502.86,454.52,418.01
530.03,533.13,525.47,501.78,453.29,416.38
532.22,531.88,523.7,500.89,451.96,415.18
534.41,530.64,522.15,500.1,450.59,413.88
536.6,529.44,520.85,499.34,449.25,412.26
538.79,528.37,519.79,498.58,447.92,410.74
540.99,527.36,518.96,497.79,446.57,409
543.18,526.31,518.32,496.99,445.18,407.32
545.37,525.31,517.85,496.06,444.04,405.78
547.56,524.63,517.51,494.91,442.6,403.96
549.75,524.45,517.27,493.44,441.2,402.16
551.94,524.49,517.11,491.7,439.85,400.76
554.13,524.33,516.97,489.87,438.56,399.39
556.32,523.64,516.76,488.18,437.23,397.85
558.51,522.45,516.41,486.72,435.84,396.37
560.7,521.01,516.05,485.43,434.41,394.62
562.89,519.5,515.29,484.25,432.98,392.76
565.08,517.99,514.28,483.13,431.56,391.31
567.27,516.32,513.06,482.02,430.16,389.73
569.46,514.75,512.23,480.85,428.77,387.99
571.65,513.32,510.85,479.59,427.38,386.76
573.84,511.88,509.42,478.31,426,385.27
576.03,510.26,507.98,477.57,424.64,383.24
578.22,508.47,506.53,476.58,423.3,381.47
580.41,506.78,505.05,476.06,422,379.02
582.6,505.41,503.54,475.58,420.83,377.73
584.79,504.13,502.02,475.27,419.54,375.96
586.98,503.28,500.5,475.03,418.24,373.88
589.17,501.49,499,474.81,416.95,372.14
591.36,499.62,497.49,474.61,415.7,370.43
593.55,498.09,495.97,474.43,414.52,368.5
595.74,496.94,494.42,474.27,413.46,367.02
597.93,495.48,493.03,474.11,412.52,365.47
600.12,492.88,491.52,473.87,411.66,363.68
602.31,490.15,490.05,473.52,410.84,361.23
604.5,486.88,488.62,473,410.05,359.39
606.69,484.37,487.2,472.33,409.34,356.69
608.88,482.62,485.72,471.53,408.72,354.65
611.07,481.21,484.11,470.64,408.22,353.19
613.26,479.71,482.29,469.71,407.78,351.86
615.45,477.92,480.23,468.84,407.26,350.29
617.64,475.82,477.95,467.75,406.75,349.98
619.83,473.41,475.49,466.47,405.91,348.46
622.02,470.94,472.9,464.89,404.89,346.97
624.21,468.82,470.28,463.07,403.78,345.37
626.4,467.1,467.69,461.21,403.04,344.17
628.59,465.47,465.21,459.53,401.86,342.98
630.78,463.7,462.89,458.12,400.57,341.53
632.97,461.82,461.12,456.94,399.07,339.96
635.16,460.13,459.14,455.94,397.33,338.39
637.36,458.93,457.35,455.08,395.45,337
639.55,457.75,455.71,454.34,393.52,334.81
641.74,456.54,454.18,453.65,391.6,333.55
643.93,455.15,452.72,452.89,389.75,331.79
646.12,453.57,451.32,451.9,388.06,330.72
648.31,452.06,449.96,450.52,386.7,329.06
650.5,450.95,448.66,448.81,385.78,327.76
652.69,450.33,447.43,447.12,385.18,325.95
654.88,450.07,446.31,445.35,384.72,325.22
657.07,449.91,445.31,443.83,384.3,323.94
659.26,449.62,444.46,442.47,383.74,322.32
661.45,449.18,443.79,441.15,382.92,321.34
663.64,448.79,443.3,439.78,381.82,319.85
665.83,448.61,443.01,438.28,380.48,318.94
668.02,448.8,442.92,436.57,378.99,318.09
670.21,449.24,442.84,434.55,377.46,316.63
672.4,449.5,442.99,432.2,375.93,314.56
674.59,449.04,443.26,429.72,374.33,313.43
676.78,448.42,443.59,428.35,372.65,311.83
678.97,447.48,443.89,426.3,370.94,311.41
681.16,446.45,444.06,424.61,369.3,310.47
683.35,445.44,444.03,423.16,367.78,309.76
685.54,444.37,443.75,421.86,366.37,308.39
687.73,443.19,443.19,420.63,365.03,306.89
689.92,442.44,442.35,419.51,364,306.13
692.11,441.13,441.25,418.48,362.63,304.7
694.3,439.69,439.93,417.47,361.25,303.67
696.49,438.23,438.44,416.42,359.86,302.63
698.68,436.88,436.81,415.27,358.5,300.97
700.87,435.66,435.08,414.09,357.19,299.94
703.06,434.46,433.29,413.1,355.96,298.24
705.25,433.15,431.8,412.46,354.77,296.87
707.44,431.59,429.95,412.17,353.62,295.71
709.63,429.62,428.11,412.11,352.49,294.17
711.82,427.79,426.32,412.16,351.39,293.22
714.01,425.48,424.62,412.26,350.34,291.69
716.2,423.52,423.03,412.44,349.33,291.11
718.39,421.9,421.54,412.83,348.41,289.99
720.58,420.44,420.16,413.51,347.58,288.88
722.77,419.02,418.84,414.41,346.83,287.51
724.96,417.53,417.53,414.88,346.19,286.83
727.15,415.86,416.22,415.74,345.9,286.12
729.34,414.11,414.88,416.36,345.54,284.98
731.53,412.39,413.5,416.69,345.44,283.57
733.72,410.64,412.09,416.75,345.6,282.27
735.92,408.91,410.65,416.61,345.9,281
738.11,407.39,409.2,416.33,346.15,279.8
740.3,406.02,407.76,415.93,346.21,278.46
742.49,404.6,406.64,415.34,346.02,277.1
744.68,403.1,405.22,414.47,345.67,275.19
746.87,401.87,403.81,413.26,345.24,273.79
749.06,400.56,402.4,411.77,344.79,272.39
751.25,399.38,400.99,410.17,344.25,270.41
753.44,398.2,399.57,408.68,343.57,268.6
755.63,396.89,398.13,407.36,342.68,268
757.82,395.54,396.67,406.21,341.6,267
760.01,394.36,395.19,405.15,340.34,265.17
762.2,393.36,393.7,404.28,338.97,264.5
764.39,392.28,392.22,403.29,337.75,263.16
766.58,390.96,390.77,402.21,336.33,262.18
768.77,389.51,389.37,400.92,334.97,261.16
770.96,388.12,388.58,399.34,333.72,260.51
773.15,386.81,387.28,397.56,332.58,259.73
775.34,385.57,386.04,395.81,331.51,258.76
777.53,384.43,384.86,394.84,330.47,257.74
779.72,383.36,383.92,393.48,329.39,256.43
781.91,382.23,382.82,392.31,328.27,255.05
784.1,381.32,381.75,391.25,327.11,253.74
786.29,380.27,380.74,390.23,325.96,252.18
788.48,379.39,379.79,389.18,324.8,251.44
790.67,379.03,378.97,388.06,323.63,250.1
792.86,379.05,378.33,386.86,322.44,248.76
795.05,380.11,377.94,385.53,321.23,247.55
797.24,381.91,377.83,384.36,319.98,246.32
799.43,383.71,378.01,382.77,318.84,245.35
801.62,384.97,378.43,381.13,317.56,244.06
803.81,385.58,379.01,379.58,316.32,243.1
806,385.66,379.67,378.2,315.1,242.08
808.19,385.47,380.33,376.95,313.89,240.89
810.38,385.23,380.92,375.78,312.65,239.54
812.57,385.03,381.41,374.67,311.36,237.96
814.76,384.91,381.48,373.62,310.09,236.82
816.95,384.87,381.74,372.6,308.86,235.87
819.14,384.63,381.86,371.56,307.7,234.7
821.33,384.44,381.85,370.39,306.55,233.74
823.52,383.98,381.72,369.01,305.43,232.95
825.71,383.25,381.5,367.49,304.36,232.4
827.9,382.37,381.2,366.01,303.79,232.1
830.09,381.47,380.85,364.78,302.82,231.34
832.28,380.66,380.46,363.82,301.91,230.02
834.48,379.87,380.02,363.11,301.08,228.45
836.67,379.04,379.53,362.51,300.32,227.65
838.86,378.2,378.98,362.07,299.51,226.97
841.05,377.37,378.38,361.81,298.62,225.81
843.24,376.55,377.71,361.74,297.63,224.95
845.43,375.66,376.98,361.92,296.57,223.91
847.62,374.61,376.18,362.36,295.56,223.16
849.81,373.37,375.34,363.02,294.64,222.29
852,372.03,374.47,363.85,293.82,221.5
854.19,370.67,373.56,364.72,293.1,220.47
856.38,369.45,372.63,365.56,292.51,219.25
858.57,368.34,371.68,366.31,292.08,218.02
860.76,367.32,370.7,366.93,291.91,217.39
862.95,366.23,369.7,367.39,292.03,216.9
865.14,365.02,368.67,367.67,292.42,216.22
867.33,363.8,367.59,367.82,292.93,215.48
869.52,362.75,366.47,367.76,293.4,214.68
871.71,361.88,365.91,367.76,293.49,214.11
873.9,361.02,364.73,367.74,293.74,213.61
876.09,360.04,363.51,367.68,293.87,212.73
878.28,359.01,362.27,367.58,293.84,211.82
880.47,358.07,361.02,367.58,293.61,210.99
882.66,357.21,359.77,367.41,293.17,209.78
884.85,356.31,358.54,367.24,292.56,208.66
887.04,355.28,357.38,367.1,291.87,207.49
889.23,354.19,356.25,367,291.21,206.86
891.42,353.66,355.17,366.87,290.63,205.44
893.61,352.63,354.15,366.62,290.15,204.45
895.8,351.55,353.17,366.13,289.77,203.16
897.99,350.41,352.23,365.42,289.48,202.3
900.18,349.34,351.29,364.59,289.29,202.15
902.37,348.41,350.35,363.78,289.18,201.87
904.56,347.6,349.4,363.05,289.09,202.14
906.75,346.79,348.44,362.22,288.96,201.87
908.94,345.86,347.47,361.49,288.61,201.24
911.13,344.79,346.5,360.71,288.21,201.37
913.32,343.69,345.51,359.86,287.67,200.71
915.51,342.68,344.51,358.93,287.04,200.28
917.7,341.7,343.5,357.92,286.35,199.54
919.89,340.65,342.48,356.77,285.63,199.44
922.08,339.57,341.46,355.45,284.87,199.67
924.27,338.56,340.6,353.95,284.09,199.72
926.46,337.66,339.61,352.42,283.28,199.27
928.65,337.11,338.63,351.02,282.42,199.04
930.84,336.38,337.67,349.82,281.91,198.85
933.04,335.61,336.69,348.78,281,198.56
935.23,334.66,335.71,347.79,280.09,198.16
937.42,333.45,334.7,346.79,279.19,197.51
939.61,332.03,333.66,345.7,278.3,196.96
941.8,330.62,332.62,344.44,277.38,196.11
943.99,329.44,331.56,343.25,276.59,195.37
946.18,328.46,330.51,341.59,275.59,193.87
948.37,327.54,329.46,339.77,274.54,193.61
950.56,326.53,328.42,338.02,273.44,193.46
952.75,325.3,327.38,336.45,272.35,193.41
954.94,323.87,326.33,335.01,271.33,192.88
957.13,322.41,325.27,333.57,270.37,192.6
959.32,321.01,324.2,332.1,269.49,192.37
961.51,319.63,323.42,330.64,268.64,192.02
963.7,318.27,322.3,329.24,267.77,191.7
965.89,317.38,321.17,327.89,266.82,191.83
968.08,316.05,320.01,326.43,265.8,191.49
970.27,314.81,318.83,324.64,264.77,191.59
972.46,313.7,317.62,322.46,263.72,191.31
974.65,312.62,316.83,320.09,262.65,191.14
976.84,311.35,315.57,317.89,261.56,191.05
979.03,309.75,314.27,316.61,260.42,190.08
981.22,307.97,312.93,315.57,259.33,189.28
983.41,306.25,311.55,314.21,257.94,189.15
985.6,304.65,310.14,312.91,256.47,190.02
987.79,303.24,308.7,311.49,255.05,190.29
989.98,302.03,307.24,309.89,253.77,190.04
992.17,300.87,305.75,308.07,252.66,189.85
994.36,300,304.22,306.02,251.63,189.35
996.55,298.51,302.99,303.82,250.59,189.04
998.74,296.89,301.39,301.67,249.51,188.61
1000.93,295.74,299.75,299.81,248.43,187.91
1003.12,293.88,298.09,298.21,247.3,186.93
1005.31,292.07,296.39,296.71,246.09,185.5
1007.5,290.56,294.66,295.19,244.75,184.55
1009.69,289.27,292.9,293.67,243.32,184.57
1011.88,287.88,291.14,292.24,241.88,183.81
1014.07,286.16,289.37,290.94,240.53,183.42
1016.26,284.06,287.61,290.07,239.34,182.71
1018.45,281.68,285.86,288.72,238.62,182.44
1020.64,279.25,284.12,287.04,237.71,182.36
1022.83,277.04,282.37,284.96,236.84,182.24
1025.02,275.21,280.59,282.73,235.93,181.56
