Distance (m),26-Aug-00,05-Aug-02,08-Sep-12,01-Mar-14,01-May-16
1027.21,273.62,278.79,280.7,234.92,181.31
1029.41,272,276.95,279.14,233.82,180.55
1031.6,270.22,275.1,277.98,233.06,180.42
1033.79,268.36,273.75,277.02,231.87,179.73
1035.98,266.36,271.93,276.03,230.67,179.33
1038.17,264.72,270.16,274.94,229.51,178.41
1040.36,262.77,268.42,273.72,228.42,177.89
1042.55,261.35,266.74,272.4,227.39,177.98
1044.74,260.28,265.1,271.01,226.41,178.22
1046.93,259.26,263.48,269.65,225.47,178.35
1049.12,258.1,261.89,268.47,224.56,178.24
1051.31,256.7,260.33,267.84,223.68,177.54
1053.5,255.17,258.81,266.88,223,177.12
1055.69,253.83,257.33,265.92,222.09,176.03
1057.88,252.85,255.9,264.91,221.13,175.77
1060.07,252.12,254.52,263.91,220.11,175.82
1062.26,251.37,253.19,263,219.07,175.49
1064.45,250.35,251.91,262.19,218.04,175.48
1066.64,248.99,250.67,261.42,217.05,175.24
1068.83,247.45,249.87,260.55,216.12,174.52
1071.02,246.01,248.69,259.49,215.22,174.12
1073.21,244.68,247.5,258.31,214.32,173.95
1075.4,243.84,246.68,257.18,213.4,173.43
1077.59,242.45,245.46,256.24,212.48,172.99
1079.78,241.24,244.22,255.47,211.58,172.76
1081.97,240.23,242.97,255.06,210.69,172.68
1084.16,239.32,241.72,254.39,209.8,172.09
1086.35,238.4,240.46,253.64,208.9,171.47
1088.54,237.37,239.2,252.99,207.99,171.09
1090.73,236.25,237.93,252.06,207.27,170.69
1092.92,234.95,236.64,250.98,206.33,170.28
1095.11,234.15,235.33,249.77,205.39,170.09
1097.3,232.8,234.02,248.52,204.48,169.85
1099.49,231.71,232.73,247.37,203.62,169.6
1101.68,230.69,231.46,246.39,202.8,169.45
1103.87,229.49,230.24,245.54,201.98,169.31
1106.06,227.99,229.41,244.73,201.18,169.49
1108.25,226.22,228.3,243.92,200.4,169.49
1110.44,224.72,227.26,243.12,199.66,169.45
1112.63,223.16,226.25,242.35,198.98,169.2
1114.82,222.12,225.26,241.57,198.36,169.13
1117.01,221.44,224.26,240.69,197.76,168.99
1119.2,220.83,223.25,239.6,197.17,168.78
1121.39,220.08,222.21,238.25,196.59,168.47
1123.58,219.14,221.14,236.77,196.06,168.36
1125.77,218.04,220.06,235.72,195.66,168.14
1127.97,216.86,218.99,234.33,195.25,167.8
1130.16,215.69,217.93,233.13,194.88,167.54
1132.35,214.61,216.89,232.07,194.68,167.35
1134.54,213.63,215.88,231.09,194.38,167.17
1136.73,212.77,214.86,230.06,194.11,166.86
1138.92,211.95,213.81,228.88,193.9,166.69
1141.11,211.08,213.02,227.48,193.73,166.52
1143.3,210.1,211.88,225.88,193.58,166.3
1145.49,209.09,210.69,224.21,193.42,166.17
1147.68,208.21,209.47,222.66,193.24,165.92
1149.87,207.38,208.24,221.39,193.03,165.76
1152.06,206.58,207.05,220.35,192.81,165.46
1154.25,205.72,205.91,219.42,192.63,165.19
1156.44,204.81,204.82,218.54,192.48,165.23
1158.63,203.89,203.8,217.7,192.37,165.12
1160.82,202.98,202.83,217.12,192.25,164.87
1163.01,202.15,201.88,216.41,192.1,164.72
1165.2,201.47,200.93,215.74,191.95,164.67
1167.39,200.91,199.98,215,191.78,164.53
1169.58,200.29,199.03,214.1,191.6,164.36
1171.77,199.61,198.1,213.01,191.42,164.19
1173.96,199.04,197.21,211.83,191.21,164.02
1176.15,198.66,196.91,210.7,190.95,163.87
1178.34,198.38,195.9,209.68,190.66,163.68
1180.53,198,195.19,208.81,190.38,163.47
1182.72,197.15,194.56,208.31,190.11,163.39
1184.91,196.28,194,207.59,189.84,163.15
1187.1,195.39,193.49,206.82,189.56,162.98
1189.29,194.88,193,205.93,189.28,162.85
1191.48,194.88,192.5,204.94,189.03,162.71
1193.67,194.9,192.03,203.87,188.79,162.6
1195.86,194.95,191.58,202.76,188.55,162.45
1198.05,194.17,191.17,202.1,188.28,162.31
1200.24,193.18,190.83,200.96,188.02,162.13
1202.43,192.37,190.56,199.82,187.73,161.91
1204.62,191.77,190.34,198.68,187.43,161.8
1206.81,191.1,190.14,197.59,187.12,161.6
1209,190.19,189.92,196.59,186.79,161.43
1211.19,189.14,189.62,195.72,186.41,161.22
1213.38,187.9,189.18,194.98,185.92,160.98
1215.57,186.52,188.18,194.26,185.29,160.77
1217.76,185.54,187.51,193.41,184.51,160.58
1219.95,184.74,186.73,192.33,183.65,160.27
1222.14,185.29,185.91,191.12,182.76,160.02
1224.33,185.61,185.12,189.93,181.89,159.78
1226.53,185.19,184.37,188.9,181.07,159.51
1228.72,184.02,183.65,188.08,180.3,159.31
1230.91,182.33,182.9,187.4,179.6,159.03
1233.1,180.68,182.08,186.85,179.18,158.99
1235.29,179.43,181.14,186.31,178.76,158.77
1237.48,178.39,180.11,185.81,178.17,158.63
1239.67,177.32,179.02,185.34,177.58,158.5
1241.86,176.26,177.9,184.86,176.97,158.33
1244.05,175.13,176.78,184.33,176.35,158.19
1246.24,173.72,175.64,183.69,175.79,158.06
1248.43,172.08,174.5,182.97,175.36,157.91
1250.62,170.6,173.34,182.26,175.12,157.74
1252.81,169.48,172.16,181.67,175.07,157.61
1255,168.65,170.96,181.2,175.15,157.35
1257.19,167.7,169.76,180.8,175.23,157.2
1259.38,167.38,168.59,180.43,175.18,157.04
1261.57,167.11,167.47,180.01,174.93,156.91
1263.76,166.7,166.41,179.53,174.52,156.71
1265.95,166.3,165.39,178.91,173.99,156.44
1268.14,165.93,164.4,178.15,173.4,156.28
1270.33,165.12,163.41,177.38,172.78,156.36
1272.52,163.45,162.4,176.51,172.41,156.43
1274.71,161.1,161.36,175.69,171.74,156.37
1276.9,158.62,160.26,174.97,170.94,156.23
1279.09,156.37,159.7,174.31,170.03,156.45
1281.28,154.37,158.52,173.67,169.05,156.83
1283.47,152.54,157.28,172.98,168.07,157.03
1285.66,150.9,155.99,172.56,167.18,156.97
1287.85,149.51,154.65,171.72,166.41,156.94
1290.04,148.31,153.31,170.78,165.73,156.75
1292.23,146.95,151.96,169.7,165.03,156.46
1294.42,145.62,150.6,168.48,164.21,156.27
1296.61,144.85,149.25,167.11,163.23,156.21
1298.8,143.12,147.92,165.65,162.11,156.27
1300.99,141.59,146.6,164.21,160.86,156.53
1303.18,140.59,145.31,162.86,159.53,156.01
1305.37,139.76,144.01,161.62,158.17,155.19
1307.56,138.63,142.71,160.71,157.6,154.69
1309.75,137.18,141.37,159.58,156.34,154.65
1311.94,135.76,139.99,158.48,155.2,154.34
1314.13,134.58,138.57,157.41,154.14,153.11
1316.32,133.57,137.11,156.25,153.1,152.27
1318.51,132.63,135.63,154.88,152.05,151.41
1320.7,131.71,134.16,153.23,150.97,151.01
1322.89,130.86,132.7,151.43,149.9,150.82
1325.09,130.2,131.33,149.69,148.86,149.91
1327.28,129.8,130.04,148.14,147.88,149.39
1329.47,129.17,128.84,146.76,146.97,149.1
1331.66,129.15,127.75,145.5,146.12,148.49
1333.85,128.96,126.74,144.26,145.29,148.01
1336.04,128.46,125.8,142.99,144.55,148.1
1338.23,127.71,124.91,141.64,143.61,147.26
1340.42,126.89,124.07,140.18,142.55,146.68
1342.61,126.16,123.29,138.88,141.4,146.17
1344.8,125.61,122.56,137.16,140.88,145.75
1346.99,125.17,121.88,135.26,139.73,145.58
1349.18,124.53,121.21,133.32,138.58,144.37
1351.37,123.56,120.5,131.5,137.46,143.48
1353.56,122.4,119.72,129.87,136.37,143.14
1355.75,121.03,118.82,128.4,135.31,142.78
1357.94,119.37,117.79,127.01,134.32,142.54
1360.13,117.78,116.79,125.64,133.42,141.97
1362.32,116.57,115.57,124.27,132.58,141.95
1364.51,115.52,114.29,122.84,131.72,141.48
1366.7,114.54,112.99,121.21,130.77,140.83
1368.89,113.25,111.7,119.33,129.77,140.39
1371.08,111.83,110.42,117.32,128.75,139.51
1373.27,110.49,109.17,115.41,127.77,139.08
1375.46,109.16,107.96,113.78,126.83,138.78
1377.65,107.69,106.8,112.41,125.94,138.1
1379.84,106.16,106.14,111.32,125.09,137.5
1382.03,104.79,105.04,110.18,124.85,137.57
1384.22,103.64,103.94,109.07,123.87,137.07
1386.41,102.55,102.84,108.44,122.83,136.43
1388.6,101.29,101.7,107.26,121.76,135.74
1390.79,99.83,100.52,106,120.66,135.04
1392.98,98.3,99.3,104.61,119.46,134.2
1395.17,96.91,98.06,103.06,118.15,133.33
1397.36,95.76,96.87,101.42,116.74,132.48
1399.55,95.26,95.62,99.88,115.29,131.68
1401.74,94.24,94.41,98.55,113.84,130.54
1403.93,93.2,93.24,97.42,112.42,129.47
1406.12,92.15,92.15,96.39,111.03,128.31
1408.31,91.18,91.14,95.39,109.69,127.15
1410.5,90.37,90.2,94.4,108.41,126.44
1412.69,89.79,89.32,93.39,107.17,125.54
1414.88,89.43,88.48,92.48,105.96,123.83
1417.07,89.08,87.65,91.29,105.47,121.81
1419.26,88.59,86.79,89.92,104.26,120.42
1421.46,87.96,85.86,88.46,103,119.39
1423.65,87.19,84.85,87.07,101.66,118.04
1425.84,86.34,83.71,85.85,100.28,116.63
1428.03,85.39,82.46,84.8,98.95,115.32
1430.22,84.26,81.13,83.85,97.68,113.91
1432.41,82.98,79.85,82.93,96.45,113.12
1434.6,81.66,78.51,81.99,95.24,111.91
1436.79,80.5,77.25,80.99,94.31,111.25
1438.98,79.51,76.12,79.91,93.19,110.72
1441.17,78.75,75.12,78.69,92.17,110.23
1443.36,78.07,74.26,77.31,91.22,109.62
1445.55,77.39,73.51,75.78,90.29,108.13
1447.74,76.78,72.85,74.29,89.34,107.2
1449.93,76.28,72.23,72.97,88.41,106.17
1452.12,75.88,71.65,72,87.51,105.26
1454.31,75.41,71.08,70.99,87.14,104.53
1456.5,74.64,70.49,70.07,86.17,103.78
1458.69,73.49,69.87,69.18,85.18,102.56
1460.88,72.24,69.19,68.28,84.22,101.83
1463.07,71.3,68.43,67.35,83.34,101.16
1465.26,70.71,67.59,66.33,82.53,100.81
1467.45,70.29,66.67,65.17,81.77,100.79
1469.64,69.83,65.9,63.94,81.04,98.95
1471.83,69.01,64.9,62.77,80.35,98.07
1474.02,68.17,63.88,61.79,79.7,97.51
1476.21,66.61,62.88,61.01,79.07,96.92
1478.4,65.3,61.9,60.38,78.44,95.98
1480.59,64.49,61.27,59.83,77.82,95.55
1482.78,63.85,60.35,59.3,77.23,94.45
1484.97,63.02,59.48,58.74,76.66,93.81
1487.16,62.07,58.64,58.36,76.11,93.01
1489.35,61.06,57.79,57.86,75.76,92.5
1491.54,59.89,56.91,57.12,75.19,92.21
1493.73,58.65,55.99,56.26,74.62,91.86
1495.92,57.59,55.02,55.32,74.07,91.35
1498.11,56.7,54.01,54.41,73.56,90.7
1500.3,55.93,52.98,53.61,73.08,90.39
1502.49,55.17,51.98,52.94,72.61,89.83
1504.68,54.49,51.34,52.31,72.14,89.33
1506.87,53.69,50.39,51.69,71.67,88.63
1509.06,52.65,49.47,51.08,71.15,88.06
1511.25,52.31,48.56,50.51,70.59,87.46
1513.44,51.32,47.66,49.98,70.04,87.07
1515.63,50.37,46.78,49.44,69.51,86.24
1517.82,49.11,45.89,48.83,68.98,85.26
1520.02,47.49,45.02,48.07,68.45,84.23
1522.21,45.99,44.15,47.23,67.91,83.13
1524.4,44.85,43.3,46.68,67.37,82.21
1526.59,43.91,42.46,45.92,66.9,81.19
1528.78,43,41.63,45.3,66.41,80.11
1530.97,42.12,40.81,44.82,65.94,79.15
1533.16,41.27,40,44.45,65.46,78.07
1535.35,40.46,39.22,44.12,64.96,76.62
1537.54,39.72,38.47,43.79,64.69,76.32
1539.73,39.05,37.76,43.4,64.17,75.79
1541.92,38.41,37.35,42.98,63.63,74.67
1544.11,37.77,36.69,42.54,63.1,73.29
1546.3,37.37,36.05,42.15,62.58,72.5
1548.49,36.65,35.41,41.85,62.06,71.68
1550.68,35.83,34.78,41.65,61.56,70.24
1552.87,35,34.15,41.52,61.09,69.18
1555.06,34.23,33.5,41.43,60.64,67.79
1557.25,33.55,32.85,41.4,60.25,66.65
1559.44,32.95,32.18,41.45,59.9,65.76
1561.63,32.41,31.52,41.63,59.56,64.41
1563.82,31.93,30.86,41.86,59.22,63.29
1566.01,31.49,30.21,42.22,58.87,62.01
1568.2,31.08,29.58,42.78,58.48,61.29
1570.39,30.64,28.98,43.55,58.08,60.06
1572.58,30.19,28.42,44.5,57.74,58.95
1574.77,29.73,27.89,45.5,57.48,57.92
1576.96,29.3,27.41,46.42,57.28,57.07
1579.15,28.91,26.98,47.24,57.09,56.32
1581.34,28.6,26.78,47.97,56.95,55.4
1583.53,28.35,26.41,48.64,56.88,54.74
1585.72,28.15,26.08,49.27,56.86,53.81
1587.91,27.96,25.79,49.57,56.86,53.06
1590.1,27.71,25.54,50.21,56.85,51.84
1592.29,27.37,25.3,50.93,56.84,50.86
1594.48,26.96,25.09,51.74,56.82,50.04
1596.67,26.49,24.88,52.5,56.81,48.69
1598.86,26.01,24.67,53.27,56.83,47.98
1601.05,25.81,24.46,53.9,57,47.21
1603.24,25.39,24.26,54.35,57.43,46.64
1605.43,24.93,24.1,54.67,58.17,45.78
1607.62,24.45,23.99,54.92,59.16,44.87
1609.81,24,23.97,55.18,60.2,43.03
1612,23.64,24.06,55.48,61.04,41.8
1614.19,23.38,24.21,55.85,61.43,39.29
1616.38,23.22,24.49,56.3,61.34,37.49
1618.58,23,24.84,56.88,61.02,36.39
1620.77,22.85,25.22,57.6,60.7,35.27
1622.96,22.64,25.59,58.43,60.55,34.42
1625.15,22.38,25.95,59.28,60.63,33.86
1627.34,22.13,26.26,60.1,60.89,33.6
1629.53,21.91,26.55,60.91,61.14,33.34
1631.72,21.69,26.82,61.69,61.24,33.06
1633.91,21.43,27.08,62.52,61.15,32.84
1636.1,21.13,27.37,63.16,61.04,32.66
1638.29,20.81,27.68,63.63,60.79,32.68
1640.48,20.48,28.03,63.94,60.42,32.62
1642.67,20.12,28.42,64.08,60.07,32.7
1644.86,19.77,28.84,64.09,59.82,32.58
1647.05,19.46,29.27,63.98,59.71,32.1
1649.24,19.23,29.7,63.82,59.71,31.42
1651.43,19.11,30.1,63.61,59.8,31.2
1653.62,19.04,30.49,63.4,59.98,31.1
1655.81,18.87,30.83,63.22,60.31,30.98
1658,18.56,31.14,63.1,60.84,30.75
1660.19,18.15,31.43,63.06,61.59,30.56
1662.38,17.69,31.73,63.1,62.51,30.38
1664.57,17.26,32.04,63.23,63.41,30.08
1666.76,16.89,32.38,63.47,64.06,29.83
1668.95,16.57,32.74,63.71,64.36,29.57
1671.14,16.22,33.11,64.13,64.44,29.4
1673.33,15.81,33.49,64.58,64.02,29.2
1675.52,15.37,33.88,65,63.3,29.05
1677.71,14.99,34.28,65.34,62.39,28.86
1679.9,14.69,34.72,65.6,61.44,28.69
1682.09,14.42,35.19,65.81,60.61,28.45
1684.28,14.18,35.44,65.98,60.01,28.28
1686.47,14.01,35.98,66.13,59.66,28.02
1688.66,13.93,36.53,66.27,59.5,27.73
1690.85,13.91,37.09,66.34,59.42,27.46
1693.04,13.74,37.64,66.5,59.39,27.37
1695.23,13.67,38.14,66.65,59.44,27.19
1697.42,13.5,38.58,66.79,59.66,26.95
1699.61,13.23,38.94,66.91,60.11,26.84
1701.8,13.16,39.23,67.03,60.73,26.66
1703.99,12.94,39.46,67.16,61.32,26.55
1706.18,12.85,39.64,67.23,61.66,26.42
1708.37,12.89,39.79,67.37,61.67,26.27
1710.56,13.02,39.89,67.51,61.45,26.13
1712.75,13.15,39.95,67.63,61.08,26.02
1714.94,13.27,39.98,67.74,60.73,25.94
1717.14,13.43,39.98,67.83,60.51,25.78
1719.33,13.6,39.97,67.93,60.37,25.77
1721.52,13.7,39.96,68.01,60.27,25.66
1723.71,13.69,39.89,68.06,60.21,25.56
1725.9,13.6,39.88,68.08,60.2,25.45
1728.09,13.31,39.84,68.07,60.2,25.39
1730.28,13.1,39.76,68.04,60.19,25.31
1732.47,12.87,39.63,67.99,60.16,25.2
1734.66,12.62,39.46,67.95,60.11,25.17
1736.85,12.37,39.26,67.92,60.04,25.05
1739.04,12.2,39.02,67.96,59.96,24.89
1741.23,12.08,38.77,68.1,59.9,24.82
1743.42,11.89,38.49,68.37,59.92,24.71
1745.61,11.56,38.2,68.75,59.92,24.67
1747.8,11.18,37.9,69.2,59.97,24.58
1749.99,10.85,37.59,69.65,60,24.51
1752.18,10.61,37.28,70.08,59.9,24.52
1754.37,10.38,36.98,70.48,59.59,24.41
1756.56,10.07,36.67,70.82,58.92,24.34
1758.75,9.72,36.38,71.12,57.89,24.25
1760.94,9.35,36.21,71.36,56.64,24.35
1763.13,8.92,35.94,71.56,55.38,24.64
1765.32,8.5,35.7,71.7,54.24,24.92
1767.51,8.08,35.49,71.73,53.34,25.76
1769.7,7.71,35.31,71.63,52.65,25.88
1771.89,7.4,35.16,71.41,52.08,26.43
1774.08,7.22,35.03,71.12,51.6,26.84
1776.27,7.26,34.92,70.84,51.18,27.13
1778.46,7.48,34.82,70.77,50.79,27.07
1780.65,7.66,34.7,70.58,50.51,27.59
1782.84,7.61,34.55,70.42,50.19,27.06
1785.03,7.32,34.37,70.24,49.9,26.8
1787.22,6.96,34.15,70.03,49.54,26.27
1789.41,6.64,33.88,69.87,49.01,26.05
1791.6,6.27,33.57,69.72,48.24,25.46
1793.79,5.76,33.21,69.75,47.32,24.72
1795.98,5.13,32.94,69.89,46.37,24
1798.17,4.51,32.47,70.12,45.6,23.81
1800.36,4.04,31.93,70.39,45.15,23.33
1802.55,3.62,31.29,70.65,45.1,22.52
1804.74,3.46,30.52,70.87,45.37,21.23
1806.93,3.28,29.57,71.04,45.85,19.96
1809.12,3.14,28.43,71.19,46.41,18.04
1811.31,2.94,27.07,71.34,46.99,16.73
1813.51,2.69,25.55,71.53,47.54,15.47
1815.7,2.49,23.88,71.79,48.13,14
1817.89,2.36,22.13,71.98,48.79,12.99
1820.08,2.16,20.36,72.16,49.46,12.13
1822.27,1.76,18.58,72.29,50.06,11.45
1824.46,1.26,16.8,72.39,50.55,10.69
1826.65,0.9,15,72.48,50.93,10.32
1828.84,0.71,13.15,72.57,51.27,9.53
1831.03,0.64,11.23,72.67,51.67,9.17
1833.22,0.63,9.54,72.77,52.22,8.12
1835.41,0.53,7.55,72.87,52.93,6.72
1837.6,0.22,5.65,72.96,53.75,6.03
1839.79,0.1,3.95,73.03,54.57,4.55
1841.98,0.05,2.55,73.07,54.91,3.39
1844.17,0.03,1.51,73.07,55.46,1.99
1846.36,0.01,0.79,73.06,55.75,1.3
1848.55,0,0.37,73.04,55.75,0.83
1850.74,0,0.14,73.12,55.52,0.53
1852.93,0,0.05,73,55.28,0.29
1855.12,0,0.01,72.76,54.73,0.07
1857.31,0,0,72.41,54.13,0.02
1859.5,0,0,71.99,53.55,0.06
1861.69,0,0,71.56,53.04,-0.01
1863.88,0,0,71.1,52.66,-0.26
1866.07,0,0,70.55,52.36,-0.59
1868.26,0,0,69.87,52.09,-0.98
1870.45,0,0,69.1,51.76,-1.15
1872.64,0,0,68.38,51.32,-1.1
1874.83,0,0,67.83,50.83,-0.98
1877.02,0,0,67.5,50.41,-0.88
1879.21,0,0,67.39,50.15,-0.79
1881.4,0,0,67.44,50.05,-0.68
1883.59,0,0,67.57,49.84,-0.57
1885.78,0,0,67.78,49.13,-0.46
1887.97,0,0,68.32,47.51,-0.41
1890.16,0,0,68.77,45.38,-0.35
1892.35,0,0,69.01,41.98,-0.86
1894.54,0,0,69.81,38.06,-3.94
1896.73,0,0,70.73,33.97,-4.41
1898.92,0,0,71.58,29.92,-4.75
1901.11,0,0,72.21,25.98,-5.07
1903.3,0,0,72.55,22.19,-5.35
1905.49,0,0,72.66,18.68,-5.72
1907.68,0,0,72.6,15.66,-6.09
1909.87,0,0,72.39,13.3,-6.41
1912.07,0,0,72.03,11.58,-6.67
1914.26,0,0,71.45,10.39,-6.91
1916.45,0,0,70.6,9.51,-7.26
1918.64,0,0,69.56,8.76,-7.87
1920.83,0,0,68.51,8,-8.51
1923.02,0,0,67.67,7.16,-9.02
1925.21,0,0,67.14,6.36,-9.32
1927.4,0,0,66.73,5.28,-9.75
1929.59,0,0,66.51,4.2,-10.08
1931.78,0,0,66.44,3.31,-10.56
1933.97,0,0,66.45,2.73,-11.1
1936.16,0,0,66.55,2.46,-11.54
1938.35,0,0,66.69,2.41,-12.07
1940.54,0,0,66.86,2.44,-12.56
1942.73,0,0,67,2.48,-12.88
1944.92,0,0,67.08,2.54,-13.33
1947.11,0,0,67.07,2.58,-13.86
1949.3,0,0,66.95,2.59,-14.03
1951.49,0,0,66.74,2.57,-14.3
1953.68,0,0,66.44,2.54,-14.53
1955.87,0,0,66.07,2.51,-14.67
1958.06,0,0,65.63,2.49,-15.25
1960.25,0,0,65.2,2.5,-15.73
1962.44,0,0,64.65,2.52,-15.71
1964.63,0,0,64.02,2.61,-16.01
1966.82,0,0,63.31,2.71,-16
1969.01,0,0,62.59,2.79,-15.93
1971.2,0,0,61.96,2.82,-16.14
1973.39,0,0,61.48,2.82,-16.56
1975.58,0,0,61.14,2.82,-16.76
1977.77,0,0,60.89,2.84,-16.79
1979.96,0,0,60.69,2.87,-17.02
1982.15,0,0,60.53,2.88,-17.68
1984.34,0,0,60.39,2.86,-17.93
1986.53,0,0,60.26,2.84,-18.28
1988.72,0,0,60.13,2.83,-18.28
1990.91,0,0,60,2.84,-18.39
1993.1,0,0,59.92,2.85,-18.66
1995.29,0,0,59.83,2.85,-18.82
1997.48,0,0,59.8,2.85,-19
1999.67,0,0,59.76,2.84,-19.27
2001.86,0,0,59.75,2.82,-19.89
2004.05,0,0,59.74,2.78,-20.03
2006.24,0,0,59.75,2.73,-19.87
2008.43,0,0,59.78,2.68,-19.72
2010.63,0,0,59.82,2.65,-19.71
2012.82,0,0,59.9,2.65,-19.85
2015.01,0,0,60.04,2.67,-20.03
2017.2,0,0,60.23,2.74,-20.27
2019.39,0,0,60.47,2.83,-20.47
2021.58,0,0,60.73,2.94,-20.75
2023.77,0,0,60.99,3.03,-20.96
2025.96,0,0,61.24,3.07,-21.09
2028.15,0,0,61.48,3.03,-21.11
2030.34,0,0,61.7,2.95,-21.3
2032.53,0,0,61.83,2.85,-21.4
2034.72,0,0,62.03,2.75,-21.38
2036.91,0,0,62.25,2.68,-21.39
2039.1,0,0,62.49,2.62,-21.33
2041.29,0,0,62.75,2.59,-21.33
2043.48,0,0,62.97,2.59,-21.48
2045.67,0,0,63.12,2.58,-21.64
2047.86,0,0,63.19,2.59,-21.83
2050.05,0,0,63.18,2.61,-22.2
2052.24,0,0,63.15,2.61,-22.67
2054.43,0,0,63.11,2.58,-22.75
2056.62,0,0,63.06,2.52,-22.79
2058.81,0,0,62.97,2.46,-22.87
2061,0,0,62.81,2.4,-22.65
2063.19,0,0,62.58,2.34,-22.53
2065.38,0,0,62.27,2.3,-22.51
2067.57,0,0,61.96,2.27,-22.5
2069.76,0,0,61.66,2.26,-22.52
2071.95,0,0,61.48,2.29,-22.51
2074.14,0,0,61.43,2.36,-22.59
2076.33,0,0,61.45,2.41,-22.67
2078.52,0,0,61.49,2.43,-22.82
2080.71,0,0,61.53,2.41,-23.03
2082.9,0,0,61.57,2.36,-23.17
2085.09,0,0,61.68,2.3,-23.36
2087.28,0,0,61.86,2.26,-23.62
2089.47,0,0,62.12,2.24,-23.99
2091.66,0,0,62.41,2.22,-24.15
2093.85,0,0,62.68,2.24,-24.05
2096.04,0,0,62.84,2.28,-24
2098.23,0,0,62.96,2.34,-24.12
2100.42,0,0,62.98,2.42,-24.24
2102.61,0,0,62.9,2.47,-24.29
2104.8,0,0,62.68,2.5,-24.15
2106.99,0,0,62.47,2.51,-24.14
2109.19,0,0,61.98,2.48,-24.33
2111.38,0,0,61.32,2.44,-24.6
2113.57,0,0,60.52,2.41,-24.67
2115.76,0,0,59.6,2.41,-24.8
2117.95,0,0,58.57,2.42,-24.98
2120.14,0,0,57.4,2.43,-25.39
2122.33,0,0,56.11,2.43,-25.7
2124.52,0,0,54.77,2.41,-25.97
2126.71,0,0,53.49,2.37,-25.92
2128.9,0,0,52.36,2.34,-25.65
2131.09,0,0,51.34,2.33,-24.79
2133.28,0,0,50.22,2.33,-24.34
2135.47,0,0,48.78,2.34,-24.01
2137.66,0,0,46.92,2.36,-23.23
2139.85,0,0,44.73,2.37,-23.2
2142.04,0,0,43.39,2.39,-22.55
2144.23,0,0,41.17,2.4,-21.22
2146.42,0,0,39.26,2.38,-19.89
2148.61,0,0,37.63,2.35,-18.45
2150.8,0,0,36.05,2.34,-18.75
2152.99,0,0,34.32,2.36,-18.6
2155.18,0,0,32.39,2.38,-18.09
2157.37,0,0,30.29,2.39,-17.63
2159.56,0,0,28.05,2.4,-17.49
2161.75,0,0,25.71,2.39,-17.96
2163.94,0,0,23.29,2.39,-17.41
2166.13,0,0,20.84,2.36,-15.78
2168.32,0,0,18.43,2.29,-17.1
2170.51,0,0,16.1,2.21,-17.12
2172.7,0,0,13.9,2.15,-16.48
2174.89,0,0,11.95,2.13,-15.69
2177.08,0,0,10.36,2.15,-15.04
2179.27,0,0,9.86,2.18,-14.6
2181.46,0,0,8.85,2.22,-13.97
2183.65,0,0,7.9,2.24,-13.68
2185.84,0,0,6.8,2.25,-13.19
2188.03,0,0,5.54,2.26,-12.69
2250,0,0,4.25,2.27,-12.79
